Grp_identifiant;IdObj
2;284
3;299
4;288
5;1043
6;134
7;677
8;1046
9;1044
10;3652
11;3951
13;3551
14;3549
15;3550
16;3590
17;3651
20;280
21;280
22;1045
23;1045
32;1045
33;1045
38;1045
25;1045
26;3589
27;3555
29;3650
30;3554
31;3990
34;3989
