_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
3710,000000000000000;Station Accueil Guist'hau Nord;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;44 Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,569267206185;47,217940185225
3711,000000000000000;Station Abonnement Guist'hau Sud;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;26T Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,567023357312;47,216839445305
3701,000000000000000;Station Accueil Sainte Elisabeth;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;3 Place Sainte Elisabeth;;www.bicloo.nantesmetropole.fr;44000;-1,561588768418;47,219225442242
3755,000000000000000;Station Accueil Manufacture;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;11 Boulevard de Stalingrad;;www.bicloo.nantesmetropole.fr;44000;-1,535865350197;47,219227699299
3686,000000000000000;Station Accueil Hôtel de Ville;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;29 Rue de Strasbourg;;www.bicloo.nantesmetropole.fr;44000;-1,553544268536;47,218564001564
3586,000000000000000;Parking relais tram Beauséjour;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;142 Route de Vannes;;;44100;-1,587343748836;47,238413521397
3698,000000000000000;Station Accueil Bretagne Nord;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;1 Rue Léopold Cassegrain;;www.bicloo.nantesmetropole.fr;44000;-1,558667159705;47,218444866727
4001,000000000000000;Station Abonnement Michelet;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;38 Boulevard Michelet;;www.bicloo.nantesmetropole.fr;44300;-1,556388702048;47,235083706675
3738,000000000000000;Station Accueil Olivettes;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;10 Rue des Olivettes;;www.bicloo.nantesmetropole.fr;44000;-1,549959351078;47,211749426576
3688,000000000000000;Station Accueil Moulin;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;18 Rue du Moulin;;www.bicloo.nantesmetropole.fr;44000;-1,554425847107;47,216646871200
284,000000000000000;Parking ouvrage Decré-Bouffay;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;18 Rue du Moulin;02 40 47 69 30;;44000;-1,554004632271;47,216662619964
3751,000000000000000;Station Accueil Sully;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;7 Cours Sully;;www.bicloo.nantesmetropole.fr;44000;-1,551684707307;47,222598822914
3762,000000000000000;Station Accueil Place René Bouhier;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;8 Place René Bouhier;;www.bicloo.nantesmetropole.fr;44100;-1,570589286667;47,209442040964
3697,000000000000000;Station Abonnement Bretagne Sud;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;1 Rue Pierre Chéreau;;www.bicloo.nantesmetropole.fr;44000;-1,559157317875;47,216750059447
3743,000000000000000;Station Accueil Palais des Sports;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;21 Rue René Viviani;;www.bicloo.nantesmetropole.fr;44200;-1,535999160686;47,208477196156
3703,000000000000000;Station Accueil Saint Similien;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;1 Place Saint Similien;;www.bicloo.nantesmetropole.fr;44000;-1,558928909642;47,219835952652
3748,000000000000000;Station Accueil Jardins des Plantes;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;6 Rue Stanislas Baudry;;www.bicloo.nantesmetropole.fr;44000;-1,544764109624;47,219931771933
3702,000000000000000;Station Abonnement Place Viarme;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;23 Place Viarme;;www.bicloo.nantesmetropole.fr;44000;-1,563326981143;47,221440878007
3729,000000000000000;Station Accueil Palais de Justice;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;19 Quai François Mitterrand;;www.bicloo.nantesmetropole.fr;44200;-1,561242453731;47,208363178205
3951,000000000000000;Parking ouvrage Les Machines;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Arthur III;;;44200;-1,562727792363;47,205900622064
3950,000000000000000;Parking Enclos Courte Durée Gare Nord;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Boulevard de Stalingrad;;;44000;-1,543478750844;47,217264732216
3974,000000000000000;Station Accueil Berlin;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard de Berlin;;http://www.bicloo.nantesmetropole.fr;44000;-1,529927520203;47,213866740082
4005,000000000000000;Station Abonnement Huit Mai;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;REZE;Place du 8 Mai 1945;;www.bicloo.nantesmetropole.fr;44400;-1,551821259531;47,189998620130
4003,000000000000000;Station Abonnement Facultés;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard Guy Mollet;;www.bicloo.nantesmetropole.fr;44300;-1,555338349805;47,246323288345
4002,000000000000000;Station Abonnement Petit Port;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place du Huit Mai 1945;;www.bicloo.nantesmetropole.fr;44300;-1,556380986355;47,243262644076
4000,000000000000000;Station Abonnement Tortière;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard Eugène Orieux;;www.bicloo.nantesmetropole.fr;44000;-1,549473437411;47,235344800187
3999,000000000000000;Station Abonnement Gréneraie;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Côte Saint Sébastien;;www.bicloo.nantesmetropole.fr;44200;-1,534607153787;47,199970710192
3997,000000000000000;Station Abonnement Pirmil;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue Esnoult des Châtelets;;www.bicloo.nantesmetropole.fr;44200;-1,541450633643;47,196629488228
3996,000000000000000;Station Abonnement Gare Pont Rousseau;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;REZE;Rue de la Gare;;www.bicloo.nantesmetropole.fr;44400;-1,549005454463;47,193149276695
3995,000000000000000;Station Abonnement Procé;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard Gaston Serpette;;www.bicloo.nantesmetropole.fr;44000;-1,576583566602;47,224321586199
3993,000000000000000;Station Abonnement Rond Point Rennes;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rond-Point de Rennes;;www.bicloo.nantesmetropole.fr;44000;-1,566016980776;47,233091703755
3990,000000000000000;Parking Viviani;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue René Viviani;;;44200;-1,536197069789;47,208775604289
3989,000000000000000;Parking Gare Sud 4;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Mail Pablo Picasso;;;44000;-1,537545042601;47,215209926075
3973,000000000000000;Station Accueil Picasso;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;;;;http://www.bicloo.nantesmetropole.fr/;44000;-1,534229121012;47,216343586847
3764,000000000000000;Station Accueil De Gaulle;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard Général de Gaulle;;www.bicloo.nantesmetropole.fr;44200;-1,540568733291;47,208460378395
